local_identifier	row_number	parameter	description	method	pi
PANGAEA.875576_098	98	Optical backscattering coefficient, 470 nm [1/m] (bb470)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location, includes backscattering by particulate and dissolved matter and water molecules	Calculated from in situ sensor data, corrected with in situ measurements in dark	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_099	99	Optical backscattering coefficient, 470 nm [1/m] (bb470)	maximum value in the selected environmental feature around the sampling date and location, includes backscattering by particulate and dissolved matter and water molecules	Calculated from in situ sensor data, corrected with in situ measurements in dark	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_100	100	Backscattering coefficient of particles, 470 nm [1/m] (bbp470)	minimum value in the selected environmental feature around the sampling date and location	Calculated from in situ sensor data, corrected with in situ measurements in dark	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_101	101	Backscattering coefficient of particles, 470 nm [1/m] (bbp470)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	Calculated from in situ sensor data, corrected with in situ measurements in dark	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_102	102	Backscattering coefficient of particles, 470 nm [1/m] (bbp470)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	Calculated from in situ sensor data, corrected with in situ measurements in dark	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_103	103	Backscattering coefficient of particles, 470 nm [1/m] (bbp470)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	Calculated from in situ sensor data, corrected with in situ measurements in dark	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_104	104	Backscattering coefficient of particles, 470 nm [1/m] (bbp470)	maximum value in the selected environmental feature around the sampling date and location	Calculated from in situ sensor data, corrected with in situ measurements in dark	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_105	105	Fluorescence, colored dissolved organic matter [ppb (QSE)] (fCDOM)	minimum value in the selected environmental feature around the sampling date and location, expressed in ppb QSE (i.e. fluorescence emitted by 1 ppb of quinine sulfate diluted in 0.05 M sulfuric acid)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_106	106	Fluorescence, colored dissolved organic matter [ppb (QSE)] (fCDOM)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location, expressed in ppb QSE (i.e. fluorescence emitted by 1 ppb of quinine sulfate diluted in 0.05 M sulfuric acid)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_107	107	Fluorescence, colored dissolved organic matter [ppb (QSE)] (fCDOM)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location, expressed in ppb QSE (i.e. fluorescence emitted by 1 ppb of quinine sulfate diluted in 0.05 M sulfuric acid)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_108	108	Fluorescence, colored dissolved organic matter [ppb (QSE)] (fCDOM)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location, expressed in ppb QSE (i.e. fluorescence emitted by 1 ppb of quinine sulfate diluted in 0.05 M sulfuric acid)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_109	109	Fluorescence, colored dissolved organic matter [ppb (QSE)] (fCDOM)	maximum value in the selected environmental feature around the sampling date and location, expressed in ppb QSE (i.e. fluorescence emitted by 1 ppb of quinine sulfate diluted in 0.05 M sulfuric acid)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_110	110	Optical beam attenuation coefficient, 660 nm [1/m] (bac660)	minimum value in the selected environmental feature around the sampling date and location, includes attenuation by particulate and dissolved matter and water molecules	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_111	111	Optical beam attenuation coefficient, 660 nm [1/m] (bac660)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location, includes attenuation by particulate and dissolved matter and water molecules	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_112	112	Optical beam attenuation coefficient, 660 nm [1/m] (bac660)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location, includes attenuation by particulate and dissolved matter and water molecules	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_113	113	Optical beam attenuation coefficient, 660 nm [1/m] (bac660)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location, includes attenuation by particulate and dissolved matter and water molecules	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_114	114	Optical beam attenuation coefficient, 660 nm [1/m] (bac660)	maximum value in the selected environmental feature around the sampling date and location, includes attenuation by particulate and dissolved matter and water molecules	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_115	115	Beam attenuation coefficient of particles [1/m] (bacp)	minimum value in the selected environmental feature around the sampling date and location, corrected for temperature drift of the sensor, using c(660) value at depth (assumed to be close to the attenuation coefficient of pure seawater)	Calculated from in situ sensor data, corrected for temperature drift	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_116	116	Beam attenuation coefficient of particles [1/m] (bacp)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location, corrected for temperature drift of the sensor, using c(660) value at depth (assumed similar to pure seawater)	Calculated from in situ sensor data, corrected for temperature drift	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_117	117	Beam attenuation coefficient of particles [1/m] (bacp)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location, corrected for temperature drift of the sensor, using c(660) value at depth (assumed similar to pure seawater)	Calculated from in situ sensor data, corrected for temperature drift	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_118	118	Beam attenuation coefficient of particles [1/m] (bacp)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location, corrected for temperature drift of the sensor, using c(660) value at depth (assumed similar to pure seawater)	Calculated from in situ sensor data, corrected for temperature drift	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_119	119	Beam attenuation coefficient of particles [1/m] (bacp)	maximum value in the selected environmental feature around the sampling date and location, corrected for temperature drift of the sensor, using c(660) value at depth (assumed to be close to the attenuation coefficient of pure seawater)	Calculated from in situ sensor data, corrected for temperature drift	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_120	120	Radiation, photosynthetically active [mol quanta/m**2/day] (PAR)	minimum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_121	121	Radiation, photosynthetically active [mol quanta/m**2/day] (PAR)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_122	122	Radiation, photosynthetically active [mol quanta/m**2/day] (PAR)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_123	123	Radiation, photosynthetically active [mol quanta/m**2/day] (PAR)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_124	124	Radiation, photosynthetically active [mol quanta/m**2/day] (PAR)	maximum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_125	125	Radiation, photosynthetically active [%] (PAR)	minimum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_126	126	Radiation, photosynthetically active [%] (PAR)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_127	127	Radiation, photosynthetically active [%] (PAR)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_128	128	Radiation, photosynthetically active [%] (PAR)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_129	129	Radiation, photosynthetically active [%] (PAR)	maximum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_130	130	Radiation, photosynthetically active [mol quanta/m**2/day] (PAR)	minimum value in the selected environmental feature around the sampling date and location	calculated from Kd(PAR)1 and 1-day avg. daily surface PAR (AMODIS) (URI: https://doi.org/10.1016/j.rse.2007.03.012)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875576_131	131	Radiation, photosynthetically active [mol quanta/m**2/day] (PAR)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from Kd(PAR)1 and 1-day avg. daily surface PAR (AMODIS) (URI: https://doi.org/10.1016/j.rse.2007.03.012)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875576_132	132	Radiation, photosynthetically active [mol quanta/m**2/day] (PAR)	maximum value in the selected environmental feature around the sampling date and location	calculated from Kd(PAR)1 and 1-day avg. daily surface PAR (AMODIS) (URI: https://doi.org/10.1016/j.rse.2007.03.012)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875576_133	133	Radiation, photosynthetically active [%] (PAR)	minimum value in the selected environmental feature around the sampling date and location, expressed as % of surface PAR	calculated from Kd(PAR)1 and 1-day avg. daily surface PAR (AMODIS) (URI: https://doi.org/10.1016/j.rse.2007.03.012)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875576_134	134	Radiation, photosynthetically active [%] (PAR)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location, expressed as % of surface PAR	calculated from Kd(PAR)1 and 1-day avg. daily surface PAR (AMODIS) (URI: https://doi.org/10.1016/j.rse.2007.03.012)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875576_135	135	Radiation, photosynthetically active [%] (PAR)	maximum value in the selected environmental feature around the sampling date and location, expressed as % of surface PAR	calculated from Kd(PAR)1 and 1-day avg. daily surface PAR (AMODIS) (URI: https://doi.org/10.1016/j.rse.2007.03.012)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875576_136	136	Radiation, photosynthetically active [mol quanta/m**2/day] (PAR)	minimum value in the selected environmental feature around the sampling date and location	calculated from Kd(PAR)1 and 8-day avg. daily surface PAR (AMODIS) (URI: https://doi.org/10.1016/j.rse.2007.03.012)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875576_137	137	Radiation, photosynthetically active [mol quanta/m**2/day] (PAR)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from Kd(PAR)1 and 8-day avg. daily surface PAR (AMODIS) (URI: https://doi.org/10.1016/j.rse.2007.03.012)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875576_138	138	Radiation, photosynthetically active [mol quanta/m**2/day] (PAR)	maximum value in the selected environmental feature around the sampling date and location	calculated from Kd(PAR)1 and 8-day avg. daily surface PAR (AMODIS) (URI: https://doi.org/10.1016/j.rse.2007.03.012)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875576_139	139	Radiation, photosynthetically active [%] (PAR)	minimum value in the selected environmental feature around the sampling date and location, expressed as % of surface PAR	calculated from Kd(PAR)1 and 8-day avg. daily surface PAR (AMODIS) (URI: https://doi.org/10.1016/j.rse.2007.03.012)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875576_140	140	Radiation, photosynthetically active [%] (PAR)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location, expressed as % of surface PAR	calculated from Kd(PAR)1 and 8-day avg. daily surface PAR (AMODIS) (URI: https://doi.org/10.1016/j.rse.2007.03.012)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875576_141	141	Radiation, photosynthetically active [%] (PAR)	maximum value in the selected environmental feature around the sampling date and location, expressed as % of surface PAR	calculated from Kd(PAR)1 and 8-day avg. daily surface PAR (AMODIS) (URI: https://doi.org/10.1016/j.rse.2007.03.012)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875576_142	142	Radiation, photosynthetically active [mol quanta/m**2/day] (PAR)	minimum value in the selected environmental feature around the sampling date and location	calculated from Kd(PAR)1 and 30-day avg. daily surface PAR (AMODIS) (URI: https://doi.org/10.1029/2010GL044174)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875576_143	143	Radiation, photosynthetically active [mol quanta/m**2/day] (PAR)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from Kd(PAR)1 and 30-day avg. daily surface PAR (AMODIS) (URI: https://doi.org/10.1029/2010GL044174)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875576_144	144	Radiation, photosynthetically active [mol quanta/m**2/day] (PAR)	maximum value in the selected environmental feature around the sampling date and location	calculated from Kd(PAR)1 and 30-day avg. daily surface PAR (AMODIS) (URI: https://doi.org/10.1029/2010GL044174)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875576_145	145	Radiation, photosynthetically active [%] (PAR)	minimum value in the selected environmental feature around the sampling date and location, expressed as % of surface PAR	calculated from Kd(PAR)1 and 30-day avg. daily surface PAR (AMODIS) (URI: https://doi.org/10.1029/2010GL044174)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875576_146	146	Radiation, photosynthetically active [%] (PAR)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location, expressed as % of surface PAR	calculated from Kd(PAR)1 and 30-day avg. daily surface PAR (AMODIS) (URI: https://doi.org/10.1029/2010GL044174)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875576_147	147	Radiation, photosynthetically active [%] (PAR)	maximum value in the selected environmental feature around the sampling date and location, expressed as % of surface PAR	calculated from Kd(PAR)1 and 30-day avg. daily surface PAR (AMODIS) (URI: https://doi.org/10.1029/2010GL044174)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
