local_identifier	row_number	parameter	description	method	pi
PANGAEA.875579_096	96	Chlorophyll a [mg/m**3] (Chl a)	at the base of the euphotic zone (zeu(0.415)), calculated from Kd(PAR)2 (equation 9' in Morel et al. 2007), values of 30-day average daily surface PAR from AMODIS products, and equations in Boss and Berhenfeld (2010)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_097	97	Chlorophyll a [mg/m**3] (Chl a)	at the depth of the mixed layer (based on sigma theta)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_098	98	Chlorophyll a [mg/m**3] (Chl a)	at the depth of the mixed layer (based on temperature)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_099	99	Chlorophyll a [mg/m**3] (Chl a)	at the depth of maximum chlorophyll fluorescence	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_100	100	Chlorophyll a [mg/m**3] (Chl a)	at the depth of maximum Brunt Väisälä frequency	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_101	101	Chlorophyll a [mg/m**3] (Chl a)	at the depth of maximum oxygen concentration	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_102	102	Chlorophyll a [mg/m**3] (Chl a)	at the depth of minimum oxygen concentration	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_103	103	Chlorophyll a [mg/m**3] (Chl a)	at the depth of the nitracline	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_104	104	Oxygen [µmol/kg] (O2)	at a depth of 10 m, below the surface	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_105	105	Oxygen [µmol/kg] (O2)	at the base of the euphotic zone (zeu(0.415)), calculated from Kd(PAR)1 (equation 9 in Morel et al. 2007), values of 30-day average daily surface PAR from AMODIS products, and equations in Boss and Berhenfeld (2010)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_106	106	Oxygen [µmol/kg] (O2)	at the base of the euphotic zone (zeu(0.415)), calculated from Kd(PAR)2 (equation 9' in Morel et al. 2007), values of 30-day average daily surface PAR from AMODIS products, and equations in Boss and Berhenfeld (2010)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_107	107	Oxygen [µmol/kg] (O2)	at the depth of the mixed layer (based on sigma theta)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_108	108	Oxygen [µmol/kg] (O2)	at the depth of the mixed layer (based on temperature)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_109	109	Oxygen [µmol/kg] (O2)	at the depth of maximum chlorophyll fluorescence	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_110	110	Oxygen [µmol/kg] (O2)	at the depth of maximum Brunt Väisälä frequency	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_111	111	Oxygen [µmol/kg] (O2)	at the depth of maximum oxygen concentration	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_112	112	Oxygen [µmol/kg] (O2)	at the depth of minimum oxygen concentration	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_113	113	Oxygen [µmol/kg] (O2)	at the depth of the nitracline	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_114	114	Nitrate [µmol/l] ([NO3]-)	at a depth of 10 m, below the surface	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_115	115	Nitrate [µmol/l] ([NO3]-)	at the base of the euphotic zone (zeu(0.415)), calculated from Kd(PAR)1 (equation 9 in Morel et al. 2007), values of 30-day average daily surface PAR from AMODIS products, and equations in Boss and Berhenfeld (2010)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_116	116	Nitrate [µmol/l] ([NO3]-)	at the base of the euphotic zone (zeu(0.415)), calculated from Kd(PAR)2 (equation 9' in Morel et al. 2007), values of 30-day average daily surface PAR from AMODIS products, and equations in Boss and Berhenfeld (2010)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_117	117	Nitrate [µmol/l] ([NO3]-)	at the depth of the mixed layer (based on sigma theta)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_118	118	Nitrate [µmol/l] ([NO3]-)	at the depth of the mixed layer (based on temperature)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_119	119	Nitrate [µmol/l] ([NO3]-)	at the depth of maximum chlorophyll fluorescence	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_120	120	Nitrate [µmol/l] ([NO3]-)	at the depth of maximum Brunt Väisälä frequency	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_121	121	Nitrate [µmol/l] ([NO3]-)	at the depth of maximum oxygen concentration	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_122	122	Nitrate [µmol/l] ([NO3]-)	at the depth of minimum oxygen concentration	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_123	123	Nitrate [µmol/l] ([NO3]-)	at the depth of the nitracline	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
